model_role,item_index,item_id,condition,error_rollout_0,error_rollout_1,q_hat_error,invalid_rollouts,valid_error_rollouts
Qwen,26,sample_644,BASELINE,1,1,1,0,2
Qwen,26,sample_644,MEANINGFUL_FIXED,1,1,1,0,2
Qwen,27,sample_735,BASELINE,1,1,1,0,2
Qwen,27,sample_735,MEANINGFUL_FIXED,1,1,1,0,2
Qwen,28,sample_236,BASELINE,1,1,1,0,2
Qwen,28,sample_236,MEANINGFUL_FIXED,1,1,1,0,2
Qwen,29,sample_612,BASELINE,0,0,0,0,0
Qwen,29,sample_612,MEANINGFUL_FIXED,0,0,0,0,0
Qwen,30,sample_488,BASELINE,1,1,1,0,2
Qwen,30,sample_488,MEANINGFUL_FIXED,1,1,1,0,2
Qwen,31,sample_102,BASELINE,1,1,1,0,2
Qwen,31,sample_102,MEANINGFUL_FIXED,1,1,1,0,2
Qwen,32,sample_788,BASELINE,1,1,1,0,2
Qwen,32,sample_788,MEANINGFUL_FIXED,1,1,1,0,2
Qwen,33,sample_641,BASELINE,0,0,0,0,0
Qwen,33,sample_641,MEANINGFUL_FIXED,0,0,0,0,0
Qwen,34,sample_229,BASELINE,1,1,1,0,2
Qwen,34,sample_229,MEANINGFUL_FIXED,1,1,1,0,2
Qwen,35,sample_146,BASELINE,0,0,0,0,0
Qwen,35,sample_146,MEANINGFUL_FIXED,0,0,0,0,0
Qwen,36,sample_385,BASELINE,1,1,1,0,2
Qwen,36,sample_385,MEANINGFUL_FIXED,1,0,0.5,0,1
Qwen,37,sample_106,BASELINE,1,1,1,0,2
Qwen,37,sample_106,MEANINGFUL_FIXED,1,1,1,0,2
Qwen,38,sample_435,BASELINE,1,1,1,0,2
Qwen,38,sample_435,MEANINGFUL_FIXED,1,1,1,1,1
Qwen,39,sample_558,BASELINE,1,1,1,0,2
Qwen,39,sample_558,MEANINGFUL_FIXED,0,1,0.5,0,1
Qwen,40,sample_148,BASELINE,1,1,1,0,2
Qwen,40,sample_148,MEANINGFUL_FIXED,1,1,1,0,2
Qwen,41,sample_116,BASELINE,0,0,0,0,0
Qwen,41,sample_116,MEANINGFUL_FIXED,0,0,0,0,0
Qwen,42,sample_71,BASELINE,1,1,1,0,2
Qwen,42,sample_71,MEANINGFUL_FIXED,0,1,0.5,0,1
Qwen,43,sample_22,BASELINE,1,1,1,0,2
Qwen,43,sample_22,MEANINGFUL_FIXED,1,1,1,0,2
Qwen,44,sample_25,BASELINE,0,0,0,0,0
Qwen,44,sample_25,MEANINGFUL_FIXED,0,0,0,0,0
Qwen,45,sample_131,BASELINE,1,1,1,0,2
Qwen,45,sample_131,MEANINGFUL_FIXED,1,1,1,0,2
Qwen,46,sample_598,BASELINE,1,1,1,0,2
Qwen,46,sample_598,MEANINGFUL_FIXED,1,1,1,0,2
Qwen,47,sample_238,BASELINE,0,0,0,0,0
Qwen,47,sample_238,MEANINGFUL_FIXED,0,0,0,0,0
Qwen,48,sample_461,BASELINE,0,0,0,0,0
Qwen,48,sample_461,MEANINGFUL_FIXED,0,0,0,0,0
Qwen,49,sample_108,BASELINE,0,0,0,0,0
Qwen,49,sample_108,MEANINGFUL_FIXED,0,0,0,0,0
Qwen,50,sample_723,BASELINE,1,1,1,0,2
Qwen,50,sample_723,MEANINGFUL_FIXED,1,1,1,0,2
Qwen,51,sample_683,BASELINE,0,0,0,0,0
Qwen,51,sample_683,MEANINGFUL_FIXED,0,0,0,0,0
Qwen,52,sample_298,BASELINE,0,0,0,0,0
Qwen,52,sample_298,MEANINGFUL_FIXED,1,1,1,0,2
Qwen,53,sample_1,BASELINE,1,1,1,0,2
Qwen,53,sample_1,MEANINGFUL_FIXED,1,1,1,0,2
Qwen,54,sample_652,BASELINE,1,0,0.5,0,1
Qwen,54,sample_652,MEANINGFUL_FIXED,0,0,0,0,0
Qwen,55,sample_587,BASELINE,0,0,0,0,0
Qwen,55,sample_587,MEANINGFUL_FIXED,1,1,1,0,2
Qwen,56,sample_242,BASELINE,1,1,1,0,2
Qwen,56,sample_242,MEANINGFUL_FIXED,0,0,0,0,0
Qwen,57,sample_26,BASELINE,0,0,0,0,0
Qwen,57,sample_26,MEANINGFUL_FIXED,0,0,0,0,0
Ministral,1,sample_58,BASELINE,0,0,0,0,0
Ministral,1,sample_58,MEANINGFUL_FIXED,0,0,0,0,0
Ministral,2,sample_54,BASELINE,0,0,0,0,0
Ministral,2,sample_54,MEANINGFUL_FIXED,0,0,0,0,0
Ministral,3,sample_140,BASELINE,1,1,1,0,2
Ministral,3,sample_140,MEANINGFUL_FIXED,1,1,1,0,2
Ministral,4,sample_152,BASELINE,0,0,0,0,0
Ministral,4,sample_152,MEANINGFUL_FIXED,0,0,0,0,0
Ministral,5,sample_412,BASELINE,0,1,0.5,0,1
Ministral,5,sample_412,MEANINGFUL_FIXED,0,0,0,0,0
Ministral,6,sample_144,BASELINE,0,0,0,0,0
Ministral,6,sample_144,MEANINGFUL_FIXED,1,0,0.5,1,0
Ministral,7,sample_661,BASELINE,1,1,1,0,2
Ministral,7,sample_661,MEANINGFUL_FIXED,0,0,0,0,0
Ministral,8,sample_67,BASELINE,1,1,1,0,2
Ministral,8,sample_67,MEANINGFUL_FIXED,1,1,1,0,2
Ministral,9,sample_217,BASELINE,0,0,0,0,0
Ministral,9,sample_217,MEANINGFUL_FIXED,0,0,0,0,0
Ministral,10,sample_677,BASELINE,1,1,1,0,2
Ministral,10,sample_677,MEANINGFUL_FIXED,0,0,0,0,0
Ministral,11,sample_568,BASELINE,1,1,1,0,2
Ministral,11,sample_568,MEANINGFUL_FIXED,1,1,1,0,2
Ministral,12,sample_466,BASELINE,1,1,1,0,2
Ministral,12,sample_466,MEANINGFUL_FIXED,1,0,0.5,1,0
Ministral,13,sample_101,BASELINE,0,0,0,0,0
Ministral,13,sample_101,MEANINGFUL_FIXED,0,0,0,0,0
Ministral,14,sample_480,BASELINE,0,0,0,0,0
Ministral,14,sample_480,MEANINGFUL_FIXED,0,1,0.5,1,0
Ministral,15,sample_36,BASELINE,0,0,0,0,0
Ministral,15,sample_36,MEANINGFUL_FIXED,0,0,0,0,0
Ministral,16,sample_105,BASELINE,1,1,1,0,2
Ministral,16,sample_105,MEANINGFUL_FIXED,0,0,0,0,0
Ministral,17,sample_82,BASELINE,0,1,0.5,0,1
Ministral,17,sample_82,MEANINGFUL_FIXED,0,0,0,0,0
Ministral,18,sample_508,BASELINE,0,0,0,0,0
Ministral,18,sample_508,MEANINGFUL_FIXED,0,0,0,0,0
Ministral,19,sample_290,BASELINE,1,1,1,0,2
Ministral,19,sample_290,MEANINGFUL_FIXED,1,0,0.5,0,1
Ministral,20,sample_7,BASELINE,0,0,0,0,0
Ministral,20,sample_7,MEANINGFUL_FIXED,0,0,0,0,0
Ministral,21,sample_475,BASELINE,0,0,0,0,0
Ministral,21,sample_475,MEANINGFUL_FIXED,0,0,0,0,0
Ministral,22,sample_187,BASELINE,0,0,0,0,0
Ministral,22,sample_187,MEANINGFUL_FIXED,0,0,0,0,0
Ministral,23,sample_143,BASELINE,0,0,0,0,0
Ministral,23,sample_143,MEANINGFUL_FIXED,0,0,0,0,0
Ministral,24,sample_787,BASELINE,0,0,0,0,0
Ministral,24,sample_787,MEANINGFUL_FIXED,0,0,0,0,0
Ministral,25,sample_711,BASELINE,1,1,1,0,2
Ministral,25,sample_711,MEANINGFUL_FIXED,1,1,1,0,2
Ministral,26,sample_644,BASELINE,0,0,0,0,0
Ministral,26,sample_644,MEANINGFUL_FIXED,1,1,1,1,1
Ministral,27,sample_735,BASELINE,1,1,1,0,2
Ministral,27,sample_735,MEANINGFUL_FIXED,1,1,1,0,2
Ministral,28,sample_236,BASELINE,0,1,0.5,0,1
Ministral,28,sample_236,MEANINGFUL_FIXED,0,0,0,0,0
Ministral,29,sample_612,BASELINE,0,0,0,0,0
Ministral,29,sample_612,MEANINGFUL_FIXED,0,0,0,0,0
Ministral,30,sample_488,BASELINE,1,1,1,0,2
Ministral,30,sample_488,MEANINGFUL_FIXED,1,1,1,1,1
Ministral,31,sample_102,BASELINE,0,0,0,0,0
Ministral,31,sample_102,MEANINGFUL_FIXED,0,0,0,0,0
Ministral,32,sample_788,BASELINE,1,1,1,0,2
Ministral,32,sample_788,MEANINGFUL_FIXED,0,0,0,0,0
Ministral,33,sample_641,BASELINE,0,0,0,0,0
Ministral,33,sample_641,MEANINGFUL_FIXED,0,0,0,0,0
Ministral,34,sample_229,BASELINE,1,1,1,0,2
Ministral,34,sample_229,MEANINGFUL_FIXED,1,1,1,0,2
Ministral,35,sample_146,BASELINE,0,0,0,0,0
Ministral,35,sample_146,MEANINGFUL_FIXED,0,0,0,0,0
Ministral,36,sample_385,BASELINE,1,1,1,0,2
Ministral,36,sample_385,MEANINGFUL_FIXED,0,0,0,0,0
Ministral,37,sample_106,BASELINE,1,1,1,0,2
Ministral,37,sample_106,MEANINGFUL_FIXED,1,1,1,0,2
Ministral,38,sample_435,BASELINE,1,1,1,2,0
Ministral,38,sample_435,MEANINGFUL_FIXED,1,1,1,2,0
Ministral,39,sample_558,BASELINE,0,0,0,0,0
Ministral,39,sample_558,MEANINGFUL_FIXED,0,0,0,0,0
Ministral,40,sample_148,BASELINE,1,1,1,0,2
Ministral,40,sample_148,MEANINGFUL_FIXED,1,1,1,0,2
Ministral,41,sample_116,BASELINE,0,0,0,0,0
Ministral,41,sample_116,MEANINGFUL_FIXED,0,0,0,0,0
Ministral,42,sample_71,BASELINE,0,1,0.5,1,0
Ministral,42,sample_71,MEANINGFUL_FIXED,1,1,1,1,1
Ministral,43,sample_22,BASELINE,1,1,1,0,2
Ministral,43,sample_22,MEANINGFUL_FIXED,1,1,1,1,1
Ministral,44,sample_25,BASELINE,0,0,0,0,0
Ministral,44,sample_25,MEANINGFUL_FIXED,0,0,0,0,0
Ministral,45,sample_131,BASELINE,0,1,0.5,1,0
Ministral,45,sample_131,MEANINGFUL_FIXED,1,1,1,2,0
Ministral,46,sample_598,BASELINE,1,1,1,0,2
Ministral,46,sample_598,MEANINGFUL_FIXED,0,1,0.5,1,0
Ministral,47,sample_238,BASELINE,0,0,0,0,0
Ministral,47,sample_238,MEANINGFUL_FIXED,0,0,0,0,0
Ministral,48,sample_461,BASELINE,0,0,0,0,0
Ministral,48,sample_461,MEANINGFUL_FIXED,0,0,0,0,0
Ministral,49,sample_108,BASELINE,0,0,0,0,0
Ministral,49,sample_108,MEANINGFUL_FIXED,0,0,0,0,0
Ministral,50,sample_723,BASELINE,1,1,1,0,2
Ministral,50,sample_723,MEANINGFUL_FIXED,1,1,1,0,2
Ministral,51,sample_683,BASELINE,0,0,0,0,0
Ministral,51,sample_683,MEANINGFUL_FIXED,0,0,0,0,0
Ministral,52,sample_298,BASELINE,1,1,1,0,2
Ministral,52,sample_298,MEANINGFUL_FIXED,0,1,0.5,0,1
Ministral,53,sample_1,BASELINE,0,0,0,0,0
Ministral,53,sample_1,MEANINGFUL_FIXED,0,0,0,0,0
Ministral,54,sample_652,BASELINE,1,1,1,0,2
Ministral,54,sample_652,MEANINGFUL_FIXED,1,1,1,0,2
Ministral,55,sample_587,BASELINE,0,0,0,0,0
Ministral,55,sample_587,MEANINGFUL_FIXED,1,0,0.5,0,1
Ministral,56,sample_242,BASELINE,0,0,0,0,0
Ministral,56,sample_242,MEANINGFUL_FIXED,0,0,0,0,0
Ministral,57,sample_26,BASELINE,0,0,0,0,0
Ministral,57,sample_26,MEANINGFUL_FIXED,1,0,0.5,1,0
