model_role,left_out_item_id,C,delta_C_nullmean,G,D,item_index
Ministral,sample_67,0.0751623376623,0.0675324675325,0.107142857143,0.107142857143,8
Ministral,sample_217,0.0737012987013,0.0659090909091,0.107142857143,0.107142857143,9
Ministral,sample_677,0.0646103896104,0.058299512987,0.0892857142857,0.0892857142857,10
Ministral,sample_568,0.0751623376623,0.0701704545455,0.107142857143,0.107142857143,11
Ministral,sample_466,0.0698863636364,0.0622564935065,0.0982142857143,0.107142857143,12
Ministral,sample_101,0.0737012987013,0.0659090909091,0.107142857143,0.107142857143,13
Ministral,sample_480,0.069724025974,0.0619318181818,0.107142857143,0.107142857143,14
Ministral,sample_36,0.0737012987013,0.0659090909091,0.107142857143,0.107142857143,15
Ministral,sample_105,0.0646103896104,0.0569805194805,0.0892857142857,0.0892857142857,16
Ministral,sample_82,0.0782467532468,0.0663961038961,0.107142857143,0.107142857143,17
Ministral,sample_508,0.0737012987013,0.0659090909091,0.107142857143,0.107142857143,18
Ministral,sample_290,0.0698863636364,0.0622564935065,0.0982142857143,0.107142857143,19
Ministral,sample_7,0.0737012987013,0.0659090909091,0.107142857143,0.107142857143,20
Ministral,sample_475,0.0737012987013,0.0659090909091,0.107142857143,0.107142857143,21
Ministral,sample_187,0.0737012987013,0.0659090909091,0.107142857143,0.107142857143,22
Ministral,sample_143,0.0737012987013,0.0659090909091,0.107142857143,0.107142857143,23
Ministral,sample_787,0.0737012987013,0.0659090909091,0.107142857143,0.107142857143,24
Ministral,sample_711,0.0751623376623,0.0675324675325,0.107142857143,0.107142857143,25
Ministral,sample_644,0.0657467532468,0.0639204545455,0.107142857143,0.0892857142857,26
Ministral,sample_735,0.0751623376623,0.0675324675325,0.107142857143,0.107142857143,27
Ministral,sample_236,0.0782467532468,0.0662337662338,0.107142857143,0.107142857143,28
Ministral,sample_612,0.0737012987013,0.0659090909091,0.107142857143,0.107142857143,29
Ministral,sample_488,0.0751623376623,0.0675324675325,0.107142857143,0.107142857143,30
Ministral,sample_102,0.0737012987013,0.0659090909091,0.107142857143,0.107142857143,31
Ministral,sample_788,0.0646103896104,0.0596185064935,0.0892857142857,0.0892857142857,32
Ministral,sample_641,0.0737012987013,0.0659090909091,0.107142857143,0.107142857143,33
Ministral,sample_229,0.0751623376623,0.0675324675325,0.107142857143,0.107142857143,34
Ministral,sample_146,0.0737012987013,0.0659090909091,0.107142857143,0.107142857143,35
Ministral,sample_385,0.0646103896104,0.063575487013,0.0892857142857,0.0892857142857,36
Ministral,sample_106,0.0751623376623,0.0675324675325,0.107142857143,0.107142857143,37
Ministral,sample_435,0.0751623376623,0.0675324675325,0.107142857143,0.107142857143,38
Ministral,sample_558,0.0737012987013,0.0698863636364,0.107142857143,0.107142857143,39
Ministral,sample_148,0.0751623376623,0.0714894480519,0.107142857143,0.107142857143,40
Ministral,sample_116,0.0737012987013,0.0659090909091,0.107142857143,0.107142857143,41
Ministral,sample_71,0.0795454545455,0.0670454545455,0.116071428571,0.107142857143,42
Ministral,sample_22,0.0751623376623,0.0675324675325,0.107142857143,0.107142857143,43
Ministral,sample_25,0.0737012987013,0.0659090909091,0.107142857143,0.107142857143,44
Ministral,sample_131,0.0795454545455,0.0667207792208,0.116071428571,0.107142857143,45
Ministral,sample_598,0.0698863636364,0.0622564935065,0.0982142857143,0.107142857143,46
Ministral,sample_238,0.0737012987013,0.0659090909091,0.107142857143,0.107142857143,47
Ministral,sample_461,0.0737012987013,0.0659090909091,0.107142857143,0.107142857143,48
Ministral,sample_108,0.0737012987013,0.0659090909091,0.107142857143,0.107142857143,49
Ministral,sample_723,0.0751623376623,0.0675324675325,0.107142857143,0.107142857143,50
Ministral,sample_683,0.0737012987013,0.0659090909091,0.107142857143,0.107142857143,51
Ministral,sample_298,0.0698863636364,0.0622564935065,0.0982142857143,0.107142857143,52
Ministral,sample_1,0.0737012987013,0.0659090909091,0.107142857143,0.107142857143,53
Ministral,sample_652,0.0751623376623,0.0675324675325,0.107142857143,0.107142857143,54
Ministral,sample_587,0.069724025974,0.0649147727273,0.107142857143,0.107142857143,55
Ministral,sample_242,0.0737012987013,0.0669034090909,0.107142857143,0.107142857143,56
Ministral,sample_26,0.069724025974,0.0619318181818,0.107142857143,0.107142857143,57
