model_role,left_out_item_id,C,delta_C_nullmean,G,D
Ministral,sample_298,0.06988636363636361,0.06225649350649348,0.0982142857142857,0.10714285714285714
Ministral,sample_36,0.07370129870129871,0.06590909090909092,0.10714285714285715,0.10714285714285714
Ministral,sample_385,0.06461038961038962,0.06357548701298701,0.0892857142857143,0.08928571428571429
Ministral,sample_412,0.07824675324675326,0.06607142857142859,0.10714285714285715,0.10714285714285714
Ministral,sample_435,0.07516233766233768,0.06753246753246755,0.10714285714285715,0.10714285714285714
Ministral,sample_461,0.07370129870129871,0.06590909090909092,0.10714285714285715,0.10714285714285714
Ministral,sample_466,0.06988636363636361,0.06225649350649348,0.0982142857142857,0.10714285714285714
Ministral,sample_475,0.07370129870129871,0.06590909090909092,0.10714285714285715,0.10714285714285714
Ministral,sample_480,0.069724025974026,0.0619318181818182,0.10714285714285715,0.10714285714285714
Ministral,sample_488,0.07516233766233768,0.06753246753246755,0.10714285714285715,0.10714285714285714
Ministral,sample_508,0.07370129870129871,0.06590909090909092,0.10714285714285715,0.10714285714285714
Ministral,sample_54,0.07370129870129871,0.06590909090909092,0.10714285714285715,0.10714285714285714
Ministral,sample_558,0.07370129870129871,0.06988636363636364,0.10714285714285715,0.10714285714285714
Ministral,sample_568,0.07516233766233768,0.07017045454545456,0.10714285714285715,0.10714285714285714
Ministral,sample_58,0.07370129870129871,0.06590909090909092,0.10714285714285715,0.10714285714285714
Ministral,sample_587,0.069724025974026,0.06491477272727274,0.10714285714285715,0.10714285714285714
Ministral,sample_598,0.06988636363636361,0.06225649350649348,0.0982142857142857,0.10714285714285714
Ministral,sample_612,0.07370129870129871,0.06590909090909092,0.10714285714285715,0.10714285714285714
Ministral,sample_641,0.07370129870129871,0.06590909090909092,0.10714285714285715,0.10714285714285714
Ministral,sample_644,0.06574675324675325,0.06392045454545453,0.10714285714285715,0.08928571428571429
Ministral,sample_652,0.07516233766233768,0.06753246753246755,0.10714285714285715,0.10714285714285714
Ministral,sample_661,0.06461038961038962,0.05698051948051949,0.0892857142857143,0.08928571428571429
Ministral,sample_67,0.07516233766233768,0.06753246753246755,0.10714285714285715,0.10714285714285714
Ministral,sample_677,0.06461038961038962,0.058299512987013004,0.0892857142857143,0.08928571428571429
Ministral,sample_683,0.07370129870129871,0.06590909090909092,0.10714285714285715,0.10714285714285714
Ministral,sample_7,0.07370129870129871,0.06590909090909092,0.10714285714285715,0.10714285714285714
Ministral,sample_71,0.07954545454545453,0.06704545454545453,0.11607142857142855,0.10714285714285714
Ministral,sample_711,0.07516233766233768,0.06753246753246755,0.10714285714285715,0.10714285714285714
Ministral,sample_723,0.07516233766233768,0.06753246753246755,0.10714285714285715,0.10714285714285714
Ministral,sample_735,0.07516233766233768,0.06753246753246755,0.10714285714285715,0.10714285714285714
Ministral,sample_787,0.07370129870129871,0.06590909090909092,0.10714285714285715,0.10714285714285714
Ministral,sample_788,0.06461038961038962,0.059618506493506515,0.0892857142857143,0.08928571428571429
Ministral,sample_82,0.07824675324675326,0.0663961038961039,0.10714285714285715,0.10714285714285714
